Archivo,Costo_H,Tiempo_H,Costo_LS,Tiempo_LS,Costo_ILS,Tiempo_ILS,Gap_Porcentaje
uf175-07.cnf,14.00,0.000292,8.00,0.001343,5.40,0.039366,61.43
uf175-016.cnf,20.00,0.000292,13.00,0.001648,7.90,0.044077,60.50
uf175-020.cnf,23.00,0.000288,15.00,0.002259,8.37,0.045909,63.62
uf175-02.cnf,24.00,0.000291,13.00,0.001736,8.57,0.044757,64.31
uf175-013.cnf,24.00,0.000299,15.00,0.002424,6.73,0.045473,71.94
uf175-06.cnf,24.00,0.000300,15.00,0.002123,8.30,0.046141,65.42
uf175-018.cnf,19.00,0.000288,8.00,0.002960,6.00,0.044613,68.42
uf175-01.cnf,25.00,0.000294,15.00,0.002872,8.20,0.045340,67.20
uf175-011.cnf,20.00,0.000289,9.00,0.002176,6.60,0.045102,67.00
uf175-019.cnf,22.00,0.000293,20.00,0.000981,9.63,0.047910,56.21
uf175-03.cnf,30.00,0.000294,15.00,0.003824,6.97,0.047852,76.78
uf175-05.cnf,25.00,0.000300,18.00,0.002353,9.63,0.050029,61.47
uf175-017.cnf,20.00,0.000292,12.00,0.001965,8.60,0.049377,57.00
uf175-015.cnf,27.00,0.000269,17.00,0.002172,6.90,0.049941,74.44
uf175-08.cnf,19.00,0.000330,13.00,0.002392,7.30,0.056174,61.58
uf175-09.cnf,21.00,0.000321,16.00,0.001657,9.33,0.059207,55.56
uf175-012.cnf,20.00,0.000330,10.00,0.003602,7.87,0.059940,60.67
uf175-014.cnf,21.00,0.000347,15.00,0.002058,10.10,0.062360,51.90
uf175-04.cnf,23.00,0.000351,13.00,0.003910,7.60,0.061770,66.96
uf175-010.cnf,24.00,0.000326,16.00,0.002658,9.03,0.064567,62.36
uf175-021.cnf,26.00,0.000332,12.00,0.003560,8.13,0.048878,68.72
uf175-022.cnf,20.00,0.000306,13.00,0.001983,8.00,0.047065,60.00
uf175-028.cnf,23.00,0.000300,9.00,0.002792,5.13,0.045409,77.68
uf175-023.cnf,26.00,0.000288,15.00,0.003162,9.17,0.050721,64.74
uf175-025.cnf,21.00,0.000279,18.00,0.001172,8.17,0.049753,61.11
uf175-026.cnf,23.00,0.000290,12.00,0.002627,6.90,0.047964,70.00
uf175-031.cnf,21.00,0.000296,17.00,0.001197,8.00,0.048636,61.90
uf175-027.cnf,24.00,0.000290,11.00,0.003724,7.37,0.048683,69.31
uf175-024.cnf,30.00,0.000303,19.00,0.003995,10.03,0.053568,66.56
uf175-030.cnf,27.00,0.000298,21.00,0.002339,9.87,0.054138,63.46
uf175-032.cnf,27.00,0.000296,15.00,0.004048,8.53,0.049771,68.40
uf175-029.cnf,26.00,0.000293,16.00,0.002963,7.83,0.053707,69.87
uf175-033.cnf,25.00,0.000317,16.00,0.002923,9.20,0.051816,63.20
uf175-035.cnf,21.00,0.000309,7.00,0.003391,3.63,0.045761,82.70
uf175-034.cnf,31.00,0.000311,17.00,0.004078,8.13,0.054651,73.76
uf175-036.cnf,25.00,0.000323,16.00,0.002378,7.37,0.052241,70.53
uf175-037.cnf,23.00,0.000294,15.00,0.002557,7.77,0.052108,66.23
uf175-038.cnf,26.00,0.000308,17.00,0.003289,9.03,0.054338,65.26
uf175-040.cnf,30.00,0.000310,17.00,0.003578,9.03,0.055683,69.89
uf175-039.cnf,26.00,0.000312,19.00,0.002603,8.83,0.059104,66.03
uf175-042.cnf,20.00,0.000302,12.00,0.002294,6.97,0.047090,65.17
uf175-041.cnf,24.00,0.000300,12.00,0.002704,6.13,0.046341,74.44
uf175-045.cnf,21.00,0.000297,13.00,0.001849,7.67,0.044115,63.49
uf175-046.cnf,22.00,0.000306,16.00,0.002037,8.03,0.049621,63.48
uf175-048.cnf,20.00,0.000306,10.00,0.002855,7.20,0.044722,64.00
uf175-043.cnf,24.00,0.000293,15.00,0.002840,8.17,0.050670,65.97
uf175-049.cnf,19.00,0.000290,14.00,0.001357,8.03,0.047631,57.72
uf175-044.cnf,30.00,0.000306,14.00,0.003752,8.33,0.050984,72.22
uf175-047.cnf,24.00,0.000297,15.00,0.002609,7.90,0.048649,67.08
uf175-052.cnf,19.00,0.000319,12.00,0.002171,7.50,0.048685,60.53
uf175-051.cnf,22.00,0.000294,13.00,0.002882,8.57,0.049560,61.06
uf175-051.cnf,22.00,0.000294,13.00,0.002882,8.57,0.049560,61.06
uf175-050.cnf,27.00,0.000316,16.00,0.003274,9.23,0.054305,65.80
uf175-050.cnf,27.00,0.000316,16.00,0.003274,9.23,0.054305,65.80
uf175-053.cnf,23.00,0.000317,16.00,0.002089,10.00,0.052048,56.52
uf175-055.cnf,30.00,0.000280,14.00,0.004504,7.57,0.051315,74.78
uf175-054.cnf,27.00,0.000315,22.00,0.002156,9.47,0.058916,64.94
uf175-053.cnf,23.00,0.000317,16.00,0.002089,10.00,0.052048,56.52
uf175-055.cnf,30.00,0.000280,14.00,0.004504,7.57,0.051315,74.78
uf175-054.cnf,27.00,0.000315,22.00,0.002156,9.47,0.058916,64.94
uf175-056.cnf,24.00,0.000305,14.00,0.003252,7.60,0.054607,68.33
uf175-057.cnf,22.00,0.000309,14.00,0.002229,7.27,0.050952,66.97
uf175-058.cnf,23.00,0.000296,15.00,0.001934,8.27,0.053913,64.06
uf175-056.cnf,24.00,0.000305,14.00,0.003252,7.60,0.054607,68.33
uf175-057.cnf,22.00,0.000309,14.00,0.002229,7.27,0.050952,66.97
uf175-058.cnf,23.00,0.000296,15.00,0.001934,8.27,0.053913,64.06
uf175-060.cnf,22.00,0.000306,14.00,0.002725,6.33,0.051998,71.21
uf175-059.cnf,26.00,0.000312,19.00,0.002547,9.23,0.060155,64.49
uf175-061.cnf,26.00,0.000298,15.00,0.002747,6.10,0.048280,76.54
uf175-063.cnf,27.00,0.000308,13.00,0.003627,7.83,0.049092,70.99
uf175-068.cnf,19.00,0.000301,14.00,0.001298,7.20,0.043868,62.11
uf175-060.cnf,22.00,0.000306,14.00,0.002725,6.33,0.051998,71.21
uf175-059.cnf,26.00,0.000312,19.00,0.002547,9.23,0.060155,64.49
uf175-061.cnf,26.00,0.000298,15.00,0.002747,6.10,0.048280,76.54
uf175-063.cnf,27.00,0.000308,13.00,0.003627,7.83,0.049092,70.99
uf175-068.cnf,19.00,0.000301,14.00,0.001298,7.20,0.043868,62.11
uf175-062.cnf,29.00,0.000294,11.00,0.005310,7.13,0.050735,75.40
uf175-069.cnf,20.00,0.000290,11.00,0.002539,6.13,0.045505,69.33
uf175-070.cnf,22.00,0.000296,15.00,0.002245,6.80,0.048348,69.09
uf175-066.cnf,20.00,0.000295,13.00,0.002260,8.47,0.051794,57.67
uf175-064.cnf,30.00,0.000300,18.00,0.002406,10.50,0.053741,65.00
uf175-062.cnf,29.00,0.000294,11.00,0.005310,7.13,0.050735,75.40
uf175-069.cnf,20.00,0.000290,11.00,0.002539,6.13,0.045505,69.33
uf175-070.cnf,22.00,0.000296,15.00,0.002245,6.80,0.048348,69.09
uf175-066.cnf,20.00,0.000295,13.00,0.002260,8.47,0.051794,57.67
uf175-064.cnf,30.00,0.000300,18.00,0.002406,10.50,0.053741,65.00
uf175-067.cnf,31.00,0.000292,16.00,0.003212,7.77,0.051334,74.95
uf175-071.cnf,21.00,0.000317,8.00,0.003060,6.43,0.048002,69.37
uf175-065.cnf,33.00,0.000305,16.00,0.004958,8.77,0.056508,73.43
uf175-072.cnf,21.00,0.000315,11.00,0.002700,6.77,0.049385,67.78
uf175-073.cnf,24.00,0.000287,16.00,0.001833,11.10,0.052208,53.75
uf175-074.cnf,22.00,0.000334,17.00,0.001446,8.77,0.050631,60.15
uf175-067.cnf,31.00,0.000292,16.00,0.003212,7.77,0.051334,74.95
uf175-071.cnf,21.00,0.000317,8.00,0.003060,6.43,0.048002,69.37
uf175-065.cnf,33.00,0.000305,16.00,0.004958,8.77,0.056508,73.43
uf175-072.cnf,21.00,0.000315,11.00,0.002700,6.77,0.049385,67.78
uf175-073.cnf,24.00,0.000287,16.00,0.001833,11.10,0.052208,53.75
uf175-074.cnf,22.00,0.000334,17.00,0.001446,8.77,0.050631,60.15
uf175-075.cnf,28.00,0.000320,22.00,0.002467,9.73,0.060119,65.24
uf175-077.cnf,21.00,0.000326,14.00,0.002267,7.17,0.057103,65.87
uf175-078.cnf,23.00,0.000327,13.00,0.003274,7.23,0.057551,68.55
uf175-076.cnf,33.00,0.000312,22.00,0.004141,11.53,0.062193,65.05
uf175-079.cnf,22.00,0.000331,15.00,0.002084,6.93,0.055371,68.48
uf175-081.cnf,22.00,0.000298,11.00,0.002643,6.50,0.044567,70.45
uf175-080.cnf,25.00,0.000323,16.00,0.002864,7.27,0.058293,70.93
uf175-082.cnf,27.00,0.000297,14.00,0.003138,6.67,0.046683,75.31
uf175-075.cnf,28.00,0.000320,22.00,0.002467,9.73,0.060119,65.24
uf175-077.cnf,21.00,0.000326,14.00,0.002267,7.17,0.057103,65.87
uf175-078.cnf,23.00,0.000327,13.00,0.003274,7.23,0.057551,68.55
uf175-076.cnf,33.00,0.000312,22.00,0.004141,11.53,0.062193,65.05
uf175-079.cnf,22.00,0.000331,15.00,0.002084,6.93,0.055371,68.48
uf175-081.cnf,22.00,0.000298,11.00,0.002643,6.50,0.044567,70.45
uf175-080.cnf,25.00,0.000323,16.00,0.002864,7.27,0.058293,70.93
uf175-082.cnf,27.00,0.000297,14.00,0.003138,6.67,0.046683,75.31
uf175-083.cnf,32.00,0.000282,14.00,0.004380,7.57,0.045868,76.35
uf175-084.cnf,29.00,0.000309,15.00,0.003371,7.23,0.049159,75.06
uf175-085.cnf,26.00,0.000286,15.00,0.002777,8.57,0.046920,67.05
uf175-090.cnf,17.00,0.000288,6.00,0.002477,3.53,0.039125,79.22
uf175-089.cnf,25.00,0.000303,18.00,0.002014,8.00,0.043345,68.00
uf175-083.cnf,32.00,0.000282,14.00,0.004380,7.57,0.045868,76.35
uf175-084.cnf,29.00,0.000309,15.00,0.003371,7.23,0.049159,75.06
uf175-085.cnf,26.00,0.000286,15.00,0.002777,8.57,0.046920,67.05
uf175-090.cnf,17.00,0.000288,6.00,0.002477,3.53,0.039125,79.22
uf175-089.cnf,25.00,0.000303,18.00,0.002014,8.00,0.043345,68.00
uf175-088.cnf,31.00,0.000292,18.00,0.003464,7.87,0.047090,74.62
uf175-087.cnf,34.00,0.000306,17.00,0.004096,9.50,0.046720,72.06
uf175-086.cnf,29.00,0.000293,15.00,0.003584,9.10,0.047398,68.62
uf175-088.cnf,31.00,0.000292,18.00,0.003464,7.87,0.047090,74.62
uf175-087.cnf,34.00,0.000306,17.00,0.004096,9.50,0.046720,72.06
uf175-086.cnf,29.00,0.000293,15.00,0.003584,9.10,0.047398,68.62
uf175-091.cnf,26.00,0.000269,16.00,0.002553,6.90,0.043909,73.46
uf175-093.cnf,23.00,0.000291,13.00,0.002060,8.63,0.041786,62.46
uf175-091.cnf,26.00,0.000269,16.00,0.002553,6.90,0.043909,73.46
uf175-093.cnf,23.00,0.000291,13.00,0.002060,8.63,0.041786,62.46
uf175-092.cnf,29.00,0.000292,15.00,0.003162,6.63,0.041624,77.13
uf175-092.cnf,29.00,0.000292,15.00,0.003162,6.63,0.041624,77.13
uf175-094.cnf,25.00,0.000282,16.00,0.002336,9.53,0.038985,61.87
uf175-095.cnf,29.00,0.000264,16.00,0.002059,7.20,0.026412,75.17
uf175-097.cnf,20.00,0.000257,10.00,0.001224,5.67,0.017963,71.67
uf175-099.cnf,25.00,0.000264,12.00,0.001419,5.67,0.018592,77.33
uf175-098.cnf,25.00,0.000253,16.00,0.001263,10.10,0.021005,59.60
uf175-096.cnf,32.00,0.000265,16.00,0.001833,9.60,0.022922,70.00
uf175-0100.cnf,24.00,0.000239,18.00,0.000523,9.33,0.014993,61.11